Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0010-Associate Login,Chrome 69.0.3497.100,,2018-10-23 16:23:49,2018-10-23 16:25:05,1m - 16.224s,FAILED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01001,Chrome 69.0.3497.100,,2018-10-23 16:23:50,2018-10-23 16:24:48,58.610s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 16:23:50,2018-10-23 16:23:53,3.376s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 16:23:53,2018-10-23 16:24:46,52.823s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-23 16:24:46,2018-10-23 16:24:48,1.312s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.168s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.199s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.045s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.049s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.076s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:48,0.070s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01002,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:49,1.091s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:24:48,2018-10-23 16:24:49,0.454s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:49,2018-10-23 16:24:49,0.175s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:49,2018-10-23 16:24:49,0.098s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:49,2018-10-23 16:24:49,0.078s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01003,Chrome 69.0.3497.100,,2018-10-23 16:24:49,2018-10-23 16:24:51,1.468s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:50,2018-10-23 16:24:50,0.297s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:50,2018-10-23 16:24:50,0.429s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:50,2018-10-23 16:24:50,0.165s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:50,2018-10-23 16:24:51,0.205s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:51,2018-10-23 16:24:51,0.107s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01004,Chrome 69.0.3497.100,,2018-10-23 16:24:51,2018-10-23 16:24:53,1.783s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:51,2018-10-23 16:24:51,0.250s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:51,2018-10-23 16:24:52,0.198s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:52,2018-10-23 16:24:52,0.416s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:24:52,2018-10-23 16:24:52,0.327s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:52,2018-10-23 16:24:52,0.164s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:52,2018-10-23 16:24:53,0.129s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01005,Chrome 69.0.3497.100,,2018-10-23 16:24:53,2018-10-23 16:24:54,1.343s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:53,2018-10-23 16:24:53,0.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:53,2018-10-23 16:24:53,0.168s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:53,2018-10-23 16:24:53,0.264s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:24:53,2018-10-23 16:24:54,0.316s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:54,2018-10-23 16:24:54,0.097s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:54,2018-10-23 16:24:54,0.050s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01006,Chrome 69.0.3497.100,,2018-10-23 16:24:54,2018-10-23 16:24:59,4.887s,FAILED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:54,2018-10-23 16:24:54,0.175s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:54,2018-10-23 16:24:55,0.143s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:55,2018-10-23 16:24:55,0.301s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:24:55,2018-10-23 16:24:55,0.323s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:24:55,2018-10-23 16:24:55,0.104s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 16:24:55,2018-10-23 16:24:58,3.026s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 16:24:58,2018-10-23 16:24:59,0.492s,FAILED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01007,Chrome 69.0.3497.100,,2018-10-23 16:24:59,2018-10-23 16:25:03,4.242s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:59,2018-10-23 16:24:59,0.151s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:59,2018-10-23 16:24:59,0.104s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:24:59,2018-10-23 16:25:00,0.243s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:25:00,2018-10-23 16:25:00,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:25:00,2018-10-23 16:25:00,0.132s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:00,2018-10-23 16:25:00,0.150s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:00,2018-10-23 16:25:00,0.175s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:00,2018-10-23 16:25:01,0.375s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:25:01,2018-10-23 16:25:01,0.267s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:25:01,2018-10-23 16:25:01,0.114s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:01,2018-10-23 16:25:01,0.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:01,2018-10-23 16:25:01,0.154s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:01,2018-10-23 16:25:02,0.372s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:25:02,2018-10-23 16:25:02,0.253s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:25:02,2018-10-23 16:25:02,0.102s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 16:25:02,2018-10-23 16:25:03,1.081s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01008,Chrome 69.0.3497.100,,2018-10-23 16:25:03,2018-10-23 16:25:04,1.284s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:03,2018-10-23 16:25:03,0.143s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:03,2018-10-23 16:25:04,0.160s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 16:25:04,2018-10-23 16:25:04,0.285s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 16:25:04,2018-10-23 16:25:04,0.298s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 16:25:04,2018-10-23 16:25:04,0.153s,PASSED
