Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0010_Associate Login,Chrome 69.0.3497.100,,2018-10-08 15:34:43,2018-10-08 15:35:11,27.621s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01001,Chrome 69.0.3497.100,,2018-10-08 15:34:44,2018-10-08 15:34:54,10.326s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 15:34:44,2018-10-08 15:34:48,3.505s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 15:34:48,2018-10-08 15:34:52,4.435s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 15:34:52,2018-10-08 15:34:54,1.363s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.167s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.221s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.067s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.050s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.049s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:54,0.044s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01002,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:55,0.757s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 15:34:54,2018-10-08 15:34:55,0.369s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:55,0.106s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:55,0.034s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:55,0.032s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01003,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:57,1.746s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:55,0.144s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:34:55,2018-10-08 15:34:56,0.573s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 15:34:56,2018-10-08 15:34:56,0.307s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 15:34:56,2018-10-08 15:34:57,0.385s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:34:57,0.097s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01004,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:35:00,3.324s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:34:57,0.148s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:34:57,0.166s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:34:57,0.310s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 15:34:57,2018-10-08 15:34:58,0.206s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 15:34:58,2018-10-08 15:34:58,0.117s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-08 15:34:58,2018-10-08 15:35:00,2.189s,PASSED
,,,,,,
Test Cases/Associate Application/Associate Login/TCBA01005,Chrome 69.0.3497.100,,2018-10-08 15:35:00,2018-10-08 15:35:02,2.184s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 15:35:00,2018-10-08 15:35:00,0.132s,PASSED
