Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0012-Edit profile,Chrome 69.0.3497.100,,2018-10-23 17:31:09,2018-10-23 17:32:10,1m - 1.632s,FAILED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01201,Chrome 69.0.3497.100,,2018-10-23 17:31:09,2018-10-23 17:31:21,12.064s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 17:31:10,2018-10-23 17:31:13,3.706s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-23 17:31:13,2018-10-23 17:31:15,1.197s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 17:31:15,2018-10-23 17:31:20,5.264s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 17:31:20,2018-10-23 17:31:21,0.890s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 17:31:21,2018-10-23 17:31:21,0.299s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 17:31:21,2018-10-23 17:31:21,0.203s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01202,Chrome 69.0.3497.100,,2018-10-23 17:31:21,2018-10-23 17:31:28,6.701s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 17:31:22,2018-10-23 17:31:24,2.829s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:24,2018-10-23 17:31:25,0.129s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:25,2018-10-23 17:31:25,0.085s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:25,2018-10-23 17:31:25,0.151s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 17:31:25,2018-10-23 17:31:25,0.207s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 17:31:25,2018-10-23 17:31:28,2.736s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:28,0.069s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:28,0.057s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:28,0.070s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01203,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:34,5.756s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:28,0.230s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 17:31:28,2018-10-23 17:31:29,0.235s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 17:31:29,2018-10-23 17:31:29,0.213s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-23 17:31:29,2018-10-23 17:31:29,0.201s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-23 17:31:29,2018-10-23 17:31:29,0.295s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-23 17:31:29,2018-10-23 17:31:30,0.172s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-23 17:31:30,2018-10-23 17:31:30,0.162s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-23 17:31:30,2018-10-23 17:31:30,0.307s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 17:31:30,2018-10-23 17:31:30,0.265s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 17:31:30,2018-10-23 17:31:31,0.228s,PASSED
