Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0012_Edit profile,Chrome 69.0.3497.100,,2018-10-11 14:08:46,2018-10-11 14:09:56,1m - 9.909s,FAILED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01201,Chrome 69.0.3497.100,,2018-10-11 14:08:46,2018-10-11 14:08:57,11.018s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-11 14:08:47,2018-10-11 14:08:51,4.150s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-11 14:08:51,2018-10-11 14:08:52,1.187s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-11 14:08:52,2018-10-11 14:08:56,3.777s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:08:56,2018-10-11 14:08:57,0.934s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 14:08:57,2018-10-11 14:08:57,0.376s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:08:57,2018-10-11 14:08:57,0.178s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01202,Chrome 69.0.3497.100,,2018-10-11 14:08:57,2018-10-11 14:09:05,7.710s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:08:58,2018-10-11 14:09:01,2.942s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:01,2018-10-11 14:09:01,0.188s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:01,2018-10-11 14:09:01,0.135s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:01,2018-10-11 14:09:01,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:01,2018-10-11 14:09:01,0.274s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:01,2018-10-11 14:09:04,3.076s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:04,2018-10-11 14:09:04,0.073s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:04,2018-10-11 14:09:05,0.470s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-11 14:09:05,2018-10-11 14:09:05,0.208s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01203,Chrome 69.0.3497.100,,2018-10-11 14:09:05,2018-10-11 14:09:12,6.996s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:06,2018-10-11 14:09:06,0.351s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:06,2018-10-11 14:09:06,0.359s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:06,2018-10-11 14:09:07,0.354s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:07,2018-10-11 14:09:07,0.251s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:07,2018-10-11 14:09:07,0.225s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:07,2018-10-11 14:09:07,0.263s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:07,2018-10-11 14:09:08,0.269s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:08,2018-10-11 14:09:08,0.461s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:08,2018-10-11 14:09:08,0.401s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:08,2018-10-11 14:09:09,0.275s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:09,2018-10-11 14:09:09,0.283s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:09,2018-10-11 14:09:09,0.327s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:09,2018-10-11 14:09:10,0.204s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.264s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.086s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.065s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.063s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.058s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.070s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.065s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.059s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.063s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.076s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:10,0.075s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:10,2018-10-11 14:09:11,0.071s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.063s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.062s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.159s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.059s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.281s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.147s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:11,0.057s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:11,2018-10-11 14:09:12,0.754s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01204,Chrome 69.0.3497.100,,2018-10-11 14:09:12,2018-10-11 14:09:16,4.248s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:12,2018-10-11 14:09:13,0.254s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:13,2018-10-11 14:09:13,0.283s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:13,2018-10-11 14:09:13,0.243s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:13,2018-10-11 14:09:13,0.230s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:13,2018-10-11 14:09:14,0.301s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:14,2018-10-11 14:09:14,0.297s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:14,2018-10-11 14:09:14,0.317s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:14,2018-10-11 14:09:14,0.117s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:14,2018-10-11 14:09:15,0.285s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.135s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.107s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.111s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.116s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.193s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:15,0.135s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:15,2018-10-11 14:09:16,0.095s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:16,0.135s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:16,0.330s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:16,0.100s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:16,0.120s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:16,0.145s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01205,Chrome 69.0.3497.100,,2018-10-11 14:09:16,2018-10-11 14:09:21,4.100s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:17,2018-10-11 14:09:17,0.201s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:17,2018-10-11 14:09:17,0.522s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:17,2018-10-11 14:09:18,0.301s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:18,2018-10-11 14:09:18,0.119s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:18,2018-10-11 14:09:18,0.157s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:18,2018-10-11 14:09:18,0.472s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:18,2018-10-11 14:09:19,0.443s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.123s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.107s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.089s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.038s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.104s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:19,0.079s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:19,2018-10-11 14:09:20,0.181s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.199s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.258s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.122s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.068s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.091s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.035s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:20,0.056s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:20,2018-10-11 14:09:21,0.141s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01206,Chrome 69.0.3497.100,,2018-10-11 14:09:21,2018-10-11 14:09:24,3.180s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-11 14:09:21,2018-10-11 14:09:21,0.331s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:21,2018-10-11 14:09:21,0.318s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:21,2018-10-11 14:09:22,0.132s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.098s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.088s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.266s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.124s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.090s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.079s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:22,0.135s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:22,2018-10-11 14:09:23,0.372s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:23,0.081s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:23,0.187s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:23,0.058s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:23,0.095s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:23,0.156s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:23,2018-10-11 14:09:24,0.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 14:09:24,2018-10-11 14:09:24,0.134s,PASSED
,,,,,,
Test Cases/Associate Application/Edit Profile/TCBA01207,Chrome 69.0.3497.100,,2018-10-11 14:09:24,2018-10-11 14:09:53,28.837s,FAILED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:24,2018-10-11 14:09:24,0.140s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:24,2018-10-11 14:09:24,0.401s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:24,2018-10-11 14:09:25,0.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 14:09:25,2018-10-11 14:09:25,0.149s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-11 14:09:25,2018-10-11 14:09:25,0.077s,PASSED
