Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0013-Change Password,Chrome 70.0.3538.102,,2018-11-14 16:38:08,2018-11-14 16:39:11,1m - 2.510s,FAILED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01301,Chrome 70.0.3538.102,,2018-11-14 16:38:09,2018-11-14 16:38:25,15.837s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 16:38:09,2018-11-14 16:38:12,3.323s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-14 16:38:12,2018-11-14 16:38:14,1.200s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-14 16:38:14,2018-11-14 16:38:20,5.928s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 16:38:20,2018-11-14 16:38:21,1.320s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:21,2018-11-14 16:38:21,0.340s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:21,2018-11-14 16:38:21,0.224s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:21,2018-11-14 16:38:24,2.888s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:24,2018-11-14 16:38:25,0.144s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01302,Chrome 70.0.3538.102,,2018-11-14 16:38:25,2018-11-14 16:38:32,7.245s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:25,2018-11-14 16:38:25,0.132s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 16:38:25,2018-11-14 16:38:30,5.026s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:30,2018-11-14 16:38:30,0.105s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:30,2018-11-14 16:38:31,0.274s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.282s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.062s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.062s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.068s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.058s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.164s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.070s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.093s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:31,0.035s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:31,2018-11-14 16:38:32,0.085s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.037s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.065s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.072s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.082s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01303,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:36,4.383s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.117s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:32,0.333s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:32,2018-11-14 16:38:33,0.127s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:33,2018-11-14 16:38:33,0.313s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:33,2018-11-14 16:38:33,0.248s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:33,2018-11-14 16:38:34,0.422s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.525s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.108s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.073s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.082s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.058s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:34,0.049s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:34,2018-11-14 16:38:35,0.059s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.047s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.121s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.084s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.100s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.104s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.233s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:35,0.241s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 16:38:35,2018-11-14 16:38:36,0.398s,PASSED
switchToDefaultContent,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:36,0.037s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:36,0.075s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:36,0.104s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:36,0.064s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01304,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:37,0.690s,FAILED
click,Chrome 70.0.3538.102,,2018-11-14 16:38:36,2018-11-14 16:38:37,0.428s,FAILED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01305,Chrome 70.0.3538.102,,2018-11-14 16:38:37,2018-11-14 16:39:09,31.928s,FAILED
setText,Chrome 70.0.3538.102,,2018-11-14 16:38:37,2018-11-14 16:39:09,31.704s,FAILED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01306,Chrome 70.0.3538.102,,2018-11-14 16:39:09,2018-11-14 16:39:10,0.761s,FAILED
click,Chrome 70.0.3538.102,,2018-11-14 16:39:09,2018-11-14 16:39:10,0.495s,FAILED
