Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0013_Change Password,Chrome 69.0.3497.100,,2018-10-11 19:43:46,2018-10-11 19:45:32,1m - 45.636s,FAILED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01301,Chrome 69.0.3497.100,,2018-10-11 19:43:47,2018-10-11 19:44:32,45.108s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-11 19:43:47,2018-10-11 19:43:51,3.606s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-11 19:43:51,2018-10-11 19:43:52,1.187s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-11 19:43:52,2018-10-11 19:44:28,35.411s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:28,2018-10-11 19:44:28,0.153s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 19:44:28,2018-10-11 19:44:28,0.314s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:28,2018-10-11 19:44:28,0.325s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:28,2018-10-11 19:44:28,0.163s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:28,2018-10-11 19:44:32,3.519s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01302,Chrome 69.0.3497.100,,2018-10-11 19:44:32,2018-10-11 19:44:35,2.825s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:32,2018-10-11 19:44:33,0.222s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:33,2018-10-11 19:44:33,0.292s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:33,2018-10-11 19:44:33,0.438s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:33,2018-10-11 19:44:33,0.084s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:33,2018-10-11 19:44:34,0.083s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.084s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.251s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.082s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.085s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.047s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.067s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.047s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:34,0.095s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:34,2018-10-11 19:44:35,0.454s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01303,Chrome 69.0.3497.100,,2018-10-11 19:44:35,2018-10-11 19:44:43,8.339s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:35,2018-10-11 19:44:35,0.129s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:35,2018-10-11 19:44:35,0.268s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:35,2018-10-11 19:44:36,0.340s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:36,2018-10-11 19:44:37,0.938s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:37,2018-10-11 19:44:38,0.771s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:38,2018-10-11 19:44:38,0.566s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:38,2018-10-11 19:44:38,0.165s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:38,2018-10-11 19:44:38,0.112s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:38,2018-10-11 19:44:40,2.100s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:40,2018-10-11 19:44:41,0.059s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.075s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.080s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.070s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.122s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.102s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:41,0.199s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:41,2018-10-11 19:44:42,0.593s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:42,2018-10-11 19:44:42,0.338s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:42,2018-10-11 19:44:43,0.642s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-11 19:44:43,2018-10-11 19:44:43,0.317s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:43,2018-10-11 19:44:43,0.108s,PASSED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01304,Chrome 69.0.3497.100,,2018-10-11 19:44:43,2018-10-11 19:44:44,0.768s,FAILED
click,Chrome 69.0.3497.100,,2018-10-11 19:44:43,2018-10-11 19:44:44,0.573s,FAILED
,,,,,,
Test Cases/Associate Application/Change Password/TCBA01305,Chrome 69.0.3497.100,,2018-10-11 19:44:44,2018-10-11 19:45:30,45.847s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-11 19:44:44,2018-10-11 19:44:49,4.770s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-11 19:44:49,2018-10-11 19:44:50,1.254s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-11 19:44:50,2018-10-11 19:45:25,34.959s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-11 19:45:25,2018-10-11 19:45:25,0.091s,PASSED
