Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0014-My Customers,Chrome 70.0.3538.110,,2018-12-05 11:39:51,2018-12-05 11:41:01,1m - 10.570s,FAILED
,,,,,,
Test Cases/Associate Application/My Customers/TCBA01401,Chrome 70.0.3538.110,,2018-12-05 11:39:51,2018-12-05 11:40:08,17.094s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-05 11:39:52,2018-12-05 11:40:08,16.256s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:08,2018-12-05 11:40:08,0.048s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:08,2018-12-05 11:40:08,0.134s,PASSED
,,,,,,
Test Cases/Associate Application/My Customers/TCBA01402,Chrome 70.0.3538.110,,2018-12-05 11:40:08,2018-12-05 11:40:14,5.076s,PASSED
click,Chrome 70.0.3538.110,,2018-12-05 11:40:09,2018-12-05 11:40:09,0.256s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:09,2018-12-05 11:40:09,0.355s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:09,2018-12-05 11:40:10,0.153s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.146s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.179s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.082s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.089s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.071s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.061s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:10,0.067s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:10,2018-12-05 11:40:11,0.245s,PASSED
click,Chrome 70.0.3538.110,,2018-12-05 11:40:11,2018-12-05 11:40:11,0.203s,PASSED
verifyElementVisible,Chrome 70.0.3538.110,,2018-12-05 11:40:11,2018-12-05 11:40:11,0.081s,PASSED
verifyElementVisible,Chrome 70.0.3538.110,,2018-12-05 11:40:11,2018-12-05 11:40:14,2.767s,PASSED
,,,,,,
Test Cases/Associate Application/My Customers/TCBA01403,Chrome 70.0.3538.110,,2018-12-05 11:40:14,2018-12-05 11:41:00,46.348s,FAILED
click,Chrome 70.0.3538.110,,2018-12-05 11:40:14,2018-12-05 11:40:14,0.150s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:14,2018-12-05 11:40:15,1.113s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:15,2018-12-05 11:40:16,0.205s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:16,2018-12-05 11:40:16,0.083s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:16,2018-12-05 11:40:16,0.174s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:16,2018-12-05 11:40:16,0.478s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:16,2018-12-05 11:40:16,0.217s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:16,2018-12-05 11:40:17,0.309s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:17,2018-12-05 11:40:17,0.220s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:17,2018-12-05 11:40:17,0.317s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:17,2018-12-05 11:40:18,0.437s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.181s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.065s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.066s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.088s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.073s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.070s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.073s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.064s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:18,0.066s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:18,2018-12-05 11:40:19,0.067s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.061s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.086s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.071s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.076s,PASSED
click,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.424s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:19,0.199s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:19,2018-12-05 11:40:20,0.099s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.094s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.078s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.040s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.108s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.056s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.076s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.034s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.065s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.039s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.063s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.037s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.069s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.039s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.060s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:20,0.035s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:20,2018-12-05 11:40:21,0.088s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.037s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.063s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.052s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.039s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.077s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.038s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:21,0.069s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:21,2018-12-05 11:40:23,2.247s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:23,2018-12-05 11:40:27,3.375s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:27,2018-12-05 11:40:30,3.603s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:30,2018-12-05 11:40:31,0.936s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:31,2018-12-05 11:40:31,0.364s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:31,2018-12-05 11:40:32,0.346s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:32,2018-12-05 11:40:32,0.349s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-05 11:40:32,2018-12-05 11:40:33,0.994s,PASSED
