Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0015-My Associates,Chrome 69.0.3497.100,,2018-10-23 18:07:23,2018-10-23 18:13:53,6m - 30.250s,FAILED
,,,,,,
Test Cases/Associate Application/My Associates/TCBA01501,Chrome 69.0.3497.100,,2018-10-23 18:07:23,2018-10-23 18:07:40,16.565s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 18:07:23,2018-10-23 18:07:28,4.948s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-23 18:07:28,2018-10-23 18:07:30,1.171s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 18:07:30,2018-10-23 18:07:33,3.499s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:33,2018-10-23 18:07:34,0.644s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 18:07:34,2018-10-23 18:07:34,0.333s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-23 18:07:34,2018-10-23 18:07:34,0.342s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:07:34,2018-10-23 18:07:35,0.171s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:35,2018-10-23 18:07:40,5.005s,PASSED
,,,,,,
Test Cases/Associate Application/My Associates/TCBA01502,Chrome 69.0.3497.100,,2018-10-23 18:07:40,2018-10-23 18:07:46,6.144s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:07:40,2018-10-23 18:07:40,0.209s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:40,2018-10-23 18:07:45,4.823s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:45,2018-10-23 18:07:45,0.125s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:45,2018-10-23 18:07:45,0.156s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:45,2018-10-23 18:07:45,0.074s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:45,2018-10-23 18:07:46,0.067s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.064s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.073s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.078s,PASSED
,,,,,,
Test Cases/Associate Application/My Associates/TCBA01503,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.338s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.096s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:46,0.060s,PASSED
,,,,,,
Test Cases/Associate Application/My Associates/TCBA01504,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:48,2.179s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:07:46,2018-10-23 18:07:47,0.369s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:47,2018-10-23 18:07:48,0.979s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:48,2018-10-23 18:07:48,0.068s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:07:48,2018-10-23 18:07:48,0.069s,PASSED
verifyElementNotChecked,Chrome 69.0.3497.100,,2018-10-23 18:07:48,2018-10-23 18:07:48,0.149s,PASSED
verifyElementNotChecked,Chrome 69.0.3497.100,,2018-10-23 18:07:48,2018-10-23 18:07:48,0.050s,PASSED
verifyElementNotChecked,Chrome 69.0.3497.100,,2018-10-23 18:07:48,2018-10-23 18:07:48,0.033s,PASSED
