Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0016-My Downline,Chrome 70.0.3538.102,,2018-11-27 20:37:41,2018-11-27 20:43:19,5m - 37.812s,FAILED
,,,,,,
Test Cases/Associate Application/My Downline/TCBA01601,Chrome 70.0.3538.102,,2018-11-27 20:37:42,2018-11-27 20:37:59,16.943s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 20:37:42,2018-11-27 20:37:59,16.302s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:37:59,2018-11-27 20:37:59,0.178s,PASSED
,,,,,,
Test Cases/Associate Application/My Downline/TCBA01602,Chrome 70.0.3538.102,,2018-11-27 20:37:59,2018-11-27 20:40:03,2m - 4.245s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 20:37:59,2018-11-27 20:38:00,0.903s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:00,2018-11-27 20:38:01,0.210s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.133s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.221s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.074s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.072s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.064s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.090s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.113s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.067s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:01,0.067s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:01,2018-11-27 20:38:04,2.154s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:04,2018-11-27 20:38:07,3.008s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:07,2018-11-27 20:38:07,0.187s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:07,2018-11-27 20:38:10,3.005s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:10,2018-11-27 20:38:10,0.286s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:10,2018-11-27 20:38:13,3.003s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:13,2018-11-27 20:38:13,0.203s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:13,2018-11-27 20:38:16,3.004s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:16,2018-11-27 20:38:17,0.192s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:17,2018-11-27 20:38:20,3.003s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:20,2018-11-27 20:38:20,0.187s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:20,2018-11-27 20:38:23,3.005s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:23,2018-11-27 20:38:23,0.190s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:23,2018-11-27 20:38:26,3.004s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:26,2018-11-27 20:38:26,0.181s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 20:38:26,2018-11-27 20:38:29,3.003s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-27 20:38:29,2018-11-27 20:38:29,0.266s,PASSED
