Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0018-Training,Chrome 70.0.3538.102,,2018-11-15 16:26:40,2018-11-15 16:27:32,52.297s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01901,Chrome 70.0.3538.102,,2018-11-15 16:26:40,2018-11-15 16:27:00,20.070s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-15 16:26:41,2018-11-15 16:27:00,18.993s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:00,2018-11-15 16:27:00,0.650s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01902,Chrome 70.0.3538.102,,2018-11-15 16:27:00,2018-11-15 16:27:06,5.439s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:01,2018-11-15 16:27:01,0.300s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:01,2018-11-15 16:27:01,0.449s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:01,2018-11-15 16:27:05,3.838s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:05,2018-11-15 16:27:05,0.089s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:05,2018-11-15 16:27:05,0.068s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:05,2018-11-15 16:27:06,0.063s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.070s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.083s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.068s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.083s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01903,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:27,20.928s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.079s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:06,0.131s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:06,2018-11-15 16:27:07,0.256s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:07,2018-11-15 16:27:09,2.665s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:09,2018-11-15 16:27:09,0.157s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:09,2018-11-15 16:27:12,2.755s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:12,2018-11-15 16:27:15,2.688s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:15,2018-11-15 16:27:15,0.189s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:15,2018-11-15 16:27:18,2.748s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:18,2018-11-15 16:27:21,2.679s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:21,2018-11-15 16:27:21,0.136s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:21,2018-11-15 16:27:23,2.793s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:23,2018-11-15 16:27:26,2.711s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:26,2018-11-15 16:27:26,0.093s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:26,2018-11-15 16:27:27,0.513s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01904,Chrome 70.0.3538.102,,2018-11-15 16:27:27,2018-11-15 16:27:29,2.248s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:27,2018-11-15 16:27:27,0.239s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-15 16:27:27,2018-11-15 16:27:28,0.220s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:28,2018-11-15 16:27:28,0.470s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:28,2018-11-15 16:27:28,0.141s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:28,2018-11-15 16:27:28,0.111s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:28,2018-11-15 16:27:29,0.073s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.079s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.081s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.066s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.080s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.084s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:29,0.205s,PASSED
,,,,,,
Test Cases/Associate Application/Training/TCBA01905,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:30,1.045s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:29,2018-11-15 16:27:30,0.203s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:27:30,2018-11-15 16:27:30,0.427s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-15 16:27:30,2018-11-15 16:27:30,0.128s,PASSED
