Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0019-Customer Service,Chrome 70.0.3538.77,,2018-11-13 10:55:27,2018-11-13 10:56:31,1m - 4.028s,FAILED
,,,,,,
Test Cases/Associate Application/Customer Service/TCBA02001,Chrome 70.0.3538.77,,2018-11-13 10:55:28,2018-11-13 10:55:42,14.730s,PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-13 10:55:28,2018-11-13 10:55:42,14.132s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:42,2018-11-13 10:55:42,0.143s,PASSED
,,,,,,
Test Cases/Associate Application/Customer Service/TCBA02002,Chrome 70.0.3538.77,,2018-11-13 10:55:42,2018-11-13 10:55:47,4.894s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:55:43,2018-11-13 10:55:43,0.333s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:43,2018-11-13 10:55:44,0.368s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.084s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.080s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.112s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.070s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.079s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.061s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.092s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:44,0.080s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:55:44,2018-11-13 10:55:45,0.333s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.136s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.104s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.168s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.117s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.064s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:45,0.103s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:55:45,2018-11-13 10:55:46,0.648s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:55:46,2018-11-13 10:55:46,0.214s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 10:55:46,2018-11-13 10:55:47,1.173s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:47,2018-11-13 10:55:47,0.064s,PASSED
,,,,,,
Test Cases/Associate Application/Customer Service/TCBA02003,Chrome 70.0.3538.77,,2018-11-13 10:55:47,2018-11-13 10:56:22,34.785s,FAILED
setText,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:55:48,0.150s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:55:48,0.150s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:55:48,0.033s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:55:48,0.100s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:55:48,0.093s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-13 10:55:48,2018-11-13 10:56:22,34.058s,FAILED
,,,,,,
Test Cases/Associate Application/Customer Service/TCBA02004,Chrome 70.0.3538.77,,2018-11-13 10:56:22,2018-11-13 10:56:28,6.319s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:56:22,2018-11-13 10:56:23,0.283s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:56:23,2018-11-13 10:56:24,1.071s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:56:24,2018-11-13 10:56:24,0.273s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:56:24,2018-11-13 10:56:25,0.693s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:56:25,2018-11-13 10:56:25,0.348s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:56:25,2018-11-13 10:56:28,3.071s,PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-13 10:56:28,2018-11-13 10:56:28,0.169s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:56:28,2018-11-13 10:56:28,0.165s,PASSED
,,,,,,
Test Cases/Associate Application/Customer Service/TCBA02005,Chrome 70.0.3538.77,,2018-11-13 10:56:28,2018-11-13 10:56:30,1.537s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:56:29,2018-11-13 10:56:29,0.336s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:56:29,2018-11-13 10:56:29,0.242s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:56:29,2018-11-13 10:56:30,0.468s,PASSED
verifyElementText,Chrome 70.0.3538.77,,2018-11-13 10:56:30,2018-11-13 10:56:30,0.114s,PASSED
