Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0020-Page Management,Chrome 69.0.3497.100,,2018-10-26 16:26:35,2018-10-26 16:27:15,40.371s,PASSED
,,,,,,
Test Cases/Associate Application/Page Management/TCBA02101,Chrome 69.0.3497.100,,2018-10-26 16:26:35,2018-10-26 16:26:45,10.033s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-26 16:26:36,2018-10-26 16:26:45,9.622s,PASSED
,,,,,,
Test Cases/Associate Application/Page Management/TCBA02102,Chrome 69.0.3497.100,,2018-10-26 16:26:45,2018-10-26 16:26:53,7.509s,PASSED
click,Chrome 69.0.3497.100,,2018-10-26 16:26:46,2018-10-26 16:26:49,2.773s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:49,2018-10-26 16:26:49,0.126s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:49,2018-10-26 16:26:52,3.566s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:52,2018-10-26 16:26:52,0.114s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:52,2018-10-26 16:26:52,0.087s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:52,2018-10-26 16:26:53,0.105s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.091s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.077s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.071s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.070s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.137s,PASSED
,,,,,,
Test Cases/Associate Application/Page Management/TCBA02103,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.518s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.180s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:26:53,0.080s,PASSED
,,,,,,
Test Cases/Associate Application/Page Management/TCBA02104,Chrome 69.0.3497.100,,2018-10-26 16:26:53,2018-10-26 16:27:00,6.044s,PASSED
click,Chrome 69.0.3497.100,,2018-10-26 16:26:54,2018-10-26 16:26:54,0.636s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:54,2018-10-26 16:26:55,0.140s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.124s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.094s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.100s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.103s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.070s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.083s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.079s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.108s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-26 16:26:55,2018-10-26 16:26:55,0.090s,PASSED
