Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0021-Executive,Chrome 70.0.3538.102,,2018-11-28 13:04:30,2018-11-28 13:05:05,35.481s,FAILED
,,,,,,
Test Cases/Associate Application/Executive/TCBA02301,Chrome 70.0.3538.102,,2018-11-28 13:04:30,2018-11-28 13:04:44,14.184s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-28 13:04:31,2018-11-28 13:04:44,13.594s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:44,2018-11-28 13:04:44,0.164s,PASSED
,,,,,,
Test Cases/Associate Application/Executive/TCBA02302,Chrome 70.0.3538.102,,2018-11-28 13:04:44,2018-11-28 13:04:46,1.208s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.286s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.149s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.077s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.080s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.068s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.071s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.067s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.066s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:45,0.037s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:45,2018-11-28 13:04:46,0.039s,PASSED
,,,,,,
Test Cases/Associate Application/Executive/TCBA02303,Chrome 70.0.3538.102,,2018-11-28 13:04:46,2018-11-28 13:04:52,6.771s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:46,2018-11-28 13:04:46,0.046s,PASSED
verifyOptionPresentByLabel,Chrome 70.0.3538.102,,2018-11-28 13:04:46,2018-11-28 13:04:46,0.126s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 13:04:46,2018-11-28 13:04:49,3.013s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-28 13:04:49,2018-11-28 13:04:49,0.114s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 13:04:49,2018-11-28 13:04:52,3.004s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:52,2018-11-28 13:04:52,0.078s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 13:04:52,2018-11-28 13:04:52,0.130s,PASSED
,,,,,,
Test Cases/Associate Application/Executive/TCBA02304,Chrome 70.0.3538.102,,2018-11-28 13:04:52,2018-11-28 13:04:58,5.888s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-28 13:04:53,2018-11-28 13:04:53,0.079s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-28 13:04:53,2018-11-28 13:04:56,3.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 13:04:56,2018-11-28 13:04:56,0.197s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:56,2018-11-28 13:04:56,0.049s,PASSED
click,Chrome 70.0.3538.102,,2018-11-28 13:04:56,2018-11-28 13:04:56,0.165s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-28 13:04:56,2018-11-28 13:04:58,1.973s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:58,2018-11-28 13:04:58,0.069s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-28 13:04:58,2018-11-28 13:04:58,0.083s,PASSED
