Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0022-Role Management,Chrome 69.0.3497.100,,2018-10-29 17:47:46,2018-10-29 17:48:38,52.149s,FAILED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02401,Chrome 69.0.3497.100,,2018-10-29 17:47:46,2018-10-29 17:48:02,15.110s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-29 17:47:47,2018-10-29 17:47:57,10.087s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:47:57,2018-10-29 17:48:02,4.609s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02402,Chrome 69.0.3497.100,,2018-10-29 17:48:02,2018-10-29 17:48:04,2.037s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:02,2018-10-29 17:48:02,0.243s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:02,2018-10-29 17:48:03,0.332s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.095s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.106s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.082s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.116s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.115s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.087s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.106s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.123s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:03,0.068s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:03,2018-10-29 17:48:04,0.075s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:04,0.060s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:04,0.075s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02403,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:05,1.726s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:04,0.220s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:04,0.406s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:04,2018-10-29 17:48:05,0.179s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:05,0.096s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:05,0.158s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:05,0.165s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:05,0.169s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:05,0.115s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02404,Chrome 69.0.3497.100,,2018-10-29 17:48:05,2018-10-29 17:48:32,26.747s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:06,2018-10-29 17:48:06,0.363s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:06,2018-10-29 17:48:06,0.086s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-29 17:48:06,2018-10-29 17:48:06,0.116s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-29 17:48:06,2018-10-29 17:48:32,25.948s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02405,Chrome 69.0.3497.100,,2018-10-29 17:48:32,2018-10-29 17:48:34,2.111s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:32,2018-10-29 17:48:33,0.365s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:33,0.275s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:33,0.126s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:33,0.215s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:33,0.081s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:33,0.067s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:33,2018-10-29 17:48:34,0.069s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.061s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.070s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.066s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.072s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.068s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.078s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.067s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.056s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:34,0.144s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02406,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:37,2.297s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:34,2018-10-29 17:48:35,0.134s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:35,2018-10-29 17:48:35,0.086s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:35,2018-10-29 17:48:35,0.077s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:35,2018-10-29 17:48:35,0.080s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:35,2018-10-29 17:48:35,0.127s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-29 17:48:35,2018-10-29 17:48:36,1.094s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:36,2018-10-29 17:48:36,0.160s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:36,2018-10-29 17:48:36,0.228s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 17:48:36,2018-10-29 17:48:37,0.093s,PASSED
,,,,,,
Test Cases/Associate Application/Role Management/TCBA02407,Chrome 69.0.3497.100,,2018-10-29 17:48:37,2018-10-29 17:48:37,0.689s,FAILED
click,Chrome 69.0.3497.100,,2018-10-29 17:48:37,2018-10-29 17:48:37,0.481s,FAILED
