Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0023-Forgot Your Password,Chrome 70.0.3538.102,,2018-12-04 14:50:58,2018-12-04 14:51:17,18.972s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02001,Chrome 70.0.3538.102,,2018-12-04 14:50:58,2018-12-04 14:51:06,7.522s,PASSED
"openBrowser("""")",Chrome 70.0.3538.102,,2018-12-04 14:50:59,2018-12-04 14:51:01,2.861s,PASSED
maximizeWindow(),Chrome 70.0.3538.102,,2018-12-04 14:51:01,2018-12-04 14:51:03,1.156s,PASSED
"navigateToUrl(""https://192.168.10.72/#/login"")",Chrome 70.0.3538.102,,2018-12-04 14:51:03,2018-12-04 14:51:06,2.966s,PASSED
"verifyElementText(findTestObject(""Object Repository/Edit Profile/Page_Log In  5-15/h1_Log In""), ""Log In"")",Chrome 70.0.3538.102,,2018-12-04 14:51:06,2018-12-04 14:51:06,0.197s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02002,Chrome 70.0.3538.102,,2018-12-04 14:51:06,2018-12-04 14:51:10,4.646s,PASSED
"click(findTestObject(""Object Repository/Forgot Your Password/Page_Log In  5-15/a_Forgot your password""))",Chrome 70.0.3538.102,,2018-12-04 14:51:06,2018-12-04 14:51:10,4.169s,PASSED
"click(findTestObject(""Forgot Your Username/Page_Forgot your Username/Select Language""))",Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:10,0.219s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/h1_Forgot your password""), ""Forgot your password?"")",Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:10,0.041s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/label_Enter your username""), ""Enter your username"")",Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:10,0.039s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/label_Personal Tax Num""), ""Personal Tax Num"")",Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:10,0.036s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/button_Submit""), ""Submit"")",Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:10,0.037s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02003,Chrome 70.0.3538.102,,2018-12-04 14:51:10,2018-12-04 14:51:11,0.472s,PASSED
"setText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/input_Input.PersonalTaxNum""), """")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.079s,PASSED
"setText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/input_Input.Username""), """")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.077s,PASSED
"click(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/button_Submit""))",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.193s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/li_Either enter User Name or P""), ""Either enter User Name or Personal Tax Num field"")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.038s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02004,Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:12,1.295s,PASSED
"setText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/input_Input.Username""), ""shinto-custom"")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.091s,PASSED
"click(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/button_Submit""))",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.339s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/li_Username shinto-custom was""), ""Username 'shinto-custom' was not found. Please contact customer service."")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:11,0.034s,PASSED
"setText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/input_Input.Username""), ""shinto-customer"")",Chrome 70.0.3538.102,,2018-12-04 14:51:11,2018-12-04 14:51:12,0.095s,PASSED
"click(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/button_Submit""))",Chrome 70.0.3538.102,,2018-12-04 14:51:12,2018-12-04 14:51:12,0.622s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/li_There a login for shinto-cu""), ""There a login for 'shinto-customer' but no Associate is linked to that account.Please contact customer service."")",Chrome 70.0.3538.102,,2018-12-04 14:51:12,2018-12-04 14:51:12,0.031s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02005,Chrome 70.0.3538.102,,2018-12-04 14:51:12,2018-12-04 14:51:14,2.225s,PASSED
"setText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/input_Input.Username""), ""Shinto-Test"")",Chrome 70.0.3538.102,,2018-12-04 14:51:12,2018-12-04 14:51:12,0.091s,PASSED
"click(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot your password/button_Submit""))",Chrome 70.0.3538.102,,2018-12-04 14:51:12,2018-12-04 14:51:14,1.981s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot password confirmation/h2_Forgot password confirmatio""), ""Forgot password confirmation"")",Chrome 70.0.3538.102,,2018-12-04 14:51:14,2018-12-04 14:51:14,0.040s,PASSED
"verifyElementText(findTestObject(""Object Repository/Forgot Your Password/Page_Forgot password confirmation/p_Please check your email to r""), ""Please check your email to reset your password."")",Chrome 70.0.3538.102,,2018-12-04 14:51:14,2018-12-04 14:51:14,0.035s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Password/TCBA02006,Chrome 70.0.3538.102,,2018-12-04 14:51:14,2018-12-04 14:51:16,1.767s,PASSED
"verifyElementText(findTestObject(""Forgot Your Username/Page_Forgot username confirmation/Login Link""), ""Log in"")",Chrome 70.0.3538.102,,2018-12-04 14:51:15,2018-12-04 14:51:15,0.033s,PASSED
"click(findTestObject(""Forgot Your Username/Page_Forgot username confirmation/Login Link""))",Chrome 70.0.3538.102,,2018-12-04 14:51:15,2018-12-04 14:51:16,1.064s,PASSED
"verifyElementText(findTestObject(""Object Repository/Edit Profile/Page_Log In  5-15/h1_Log In""), ""Log In"")",Chrome 70.0.3538.102,,2018-12-04 14:51:16,2018-12-04 14:51:16,0.582s,PASSED
