Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VBZ0024-Forgot Your Username,Chrome 69.0.3497.100,,2018-10-23 18:23:37,2018-10-23 18:25:03,1m - 25.846s,FAILED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03001,Chrome 69.0.3497.100,,2018-10-23 18:23:37,2018-10-23 18:23:47,9.393s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 18:23:38,2018-10-23 18:23:41,3.327s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-23 18:23:41,2018-10-23 18:23:42,1.190s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 18:23:42,2018-10-23 18:23:46,3.816s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:23:46,2018-10-23 18:23:47,0.628s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03002,Chrome 69.0.3497.100,,2018-10-23 18:23:47,2018-10-23 18:23:50,2.970s,FAILED
click,Chrome 69.0.3497.100,,2018-10-23 18:23:47,2018-10-23 18:23:48,1.060s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:23:48,2018-10-23 18:23:49,0.810s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:23:49,2018-10-23 18:23:49,0.105s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:23:49,2018-10-23 18:23:50,0.770s,FAILED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03003,Chrome 69.0.3497.100,,2018-10-23 18:23:50,2018-10-23 18:24:22,32.182s,FAILED
click,Chrome 69.0.3497.100,,2018-10-23 18:23:50,2018-10-23 18:23:50,0.161s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:23:50,2018-10-23 18:24:22,31.840s,FAILED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03004,Chrome 69.0.3497.100,,2018-10-23 18:24:22,2018-10-23 18:24:54,32.422s,FAILED
setText,Chrome 69.0.3497.100,,2018-10-23 18:24:22,2018-10-23 18:24:22,0.160s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 18:24:22,2018-10-23 18:24:23,0.240s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:24:23,2018-10-23 18:24:23,0.129s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:24:23,2018-10-23 18:24:54,31.711s,FAILED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03005,Chrome 69.0.3497.100,,2018-10-23 18:24:54,2018-10-23 18:24:58,3.566s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 18:24:55,2018-10-23 18:24:55,0.075s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 18:24:55,2018-10-23 18:24:55,0.328s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:24:55,2018-10-23 18:24:58,2.834s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:24:58,2018-10-23 18:24:58,0.081s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:24:58,2018-10-23 18:24:58,0.059s,PASSED
,,,,,,
Test Cases/Associate Application/Forgot Your Username/TCBA03007,Chrome 69.0.3497.100,,2018-10-23 18:24:58,2018-10-23 18:25:02,3.804s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 18:24:58,2018-10-23 18:25:01,3.061s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-23 18:25:01,2018-10-23 18:25:02,0.552s,PASSED
